3TN4 Nationaltheatret-Stortinget
3TN5 Nationaltheatret-Stortinget
3TN3 Stortinget-Jernbanetorget
3TN1 Stortinget-Jernbanetorget
3TN2 Stortinget-Jernbanetorget
3TN4 Stortinget-Jernbanetorget
3TN5 Stortinget-Jernbanetorget
3TN3 Jernbanetorget-Grønland
3TN1 Jernbanetorget-Grønland
3TN2 Jernbanetorget-Grønland
3TN4 Jernbanetorget-Grønland
3TN5 Jernbanetorget-Grønland
3TN3 Grønland-Tøyen
3TN1 Grønland-Tøyen
3TN2 Grønland-Tøyen
3TN4 Grønland-Tøyen
3TN5 Grønland-Tøyen 
3TN3 Tøyen-Ensjø
3TN3 Tøyen-Ensjø
3TN3 Tøyen-Ensjø
3TN3 Tøyen-Ensjø
3TN3 Ensjø-Helsfyr
3TN3 Ensjø-Helsfyr
3TN3 Ensjø-Helsfyr
3TN3 Ensjø-Helsfyr
3TN3 Helsfyr-Brynseng
3TN3 Helsfyr-Brynseng
3TN3 Helsfyr-Brynseng
3TN3 Helsfyr-Brynseng
3TN3 Brynseng-Hellerud
3TN2 Brynseng-Hellerud
3TN3 Hellerud-Godlia
3TN3 Godlia-Skøyenåsen
3TN3 Skøyenåsen-Oppsal
3TN3 Oppsal-Ulsrud
3TN3 Ulsrud-Bøler
3TN3 Bøler-Bogerud
3TN3 Bogerud-Skullerud
3TN3 Skullerud-Mortensrud

4TN4 Vestli-Stovner
4TN4 Vestli-Stovner
4TN4 Stovner-Rommen
4TN4 Stovner-Rommen
4TN4 Rommen-Romsås
4TN4 Rommen-Romsås
4TN4 Romsås-Grorud
4TN4 Romsås-Grorud
4TN4 Grorud-Ammerud
4TN4 Grorud-Ammerud
4TN4 Ammerud-Kalbakken
4TN4 Ammerud-Kalbakken
4TN4 Kalbakken-Rødtvet
4TN4 Kalbakken-Rødtvet
4TN4 Rødtvet-Veitvet
4TN4 Rødtvet-Veitvet
4TN4 Veitvet-Linderud
4TN4 Veitvet-Linderud
4TN4 Linderud-Vollebekk
4TN4 Linderud-Vollebekk
4TN4 Vollebekk-Risløkka
4TN4 Vollebekk-Risløkka
4TN4 Risløkka-Økern
4TN4 Risløkka-Økern     
4TN4 Økern-Løren    
4TN4 Løren-Sinsen
4TN4 Sinsen-Storo
4TN4 Sinsen-Storo
4TN4 Storo-Nydalen
4TN4 Storo-Nydalen
4TN4 Nydalen-UllevålStadion
4TN4 Nydalen-UllevålStadion
4TN4 UllevålStadion-Forskningsparken
4TN4 UllevålStadion-Forskningsparken
4TN4 Forskningsparken-Blindern
4TN4 Forskningsparken-Blindern
4TN4 Blindern-Majorstuen
4TN4 Blindern-Majorstuen
4TN4 Majorstuen-Nationaltheatret
4TN4 Majorstuen-Nationaltheatret
